IMO,MMSI,Name,Type,Build Year,Country,Call Sign,Length,Width,Gross Tonnage,Deadweight Tonnage,Efficiency
9256420,244813000,Bit Force,Oil Tanker,2003,Netherlands,PCXW,117,18,6280,7207,19.41
9210438,308726000,Platinum Ray,Vehicle Carrier,2000,Bahamas,C6RC2,200,32,57772,21400,16.79
9228356,311583000,Jewel Of The Seas,Passenger Ship,2004,Bahamas,C6FW9,290,30,90090,11936,23.79
8701674,219945000,Pearl Seaways,Ro-Pax Ship,1989,Denmark,OWFU2,178,30,40039,2800,25.29
9229843,211382280,Ningbo Express,Container Ship,2002,Liberia,5LJY5,320,42,88493,100016,12.38
8306486,247228600,Mega Smeralda,Ro-Pax Ship,1985,Italy,ICIU,171,28,34694,3019,3.69
9207883,230006000,Finnkraft,Ro-Ro Ship,2000,Finland,OJNK,163,21,11530,8702,4.6
9239800,212058000,Cinnamon,Bulk Carrier,2003,Marshall Is,V7A7284,187,24,18311,26737,7.34
9261889,209912000,Cma Cgm Fort St Louis,Container Ship,2003,Cyprus,5BLP5,197,30,26342,30804,24.35
9277400,255806008,Macarena B,Container Ship,2003,Portugal,CQIN4,138,22,7519,8635,36.82
9147681,304080796,Annemieke,General Cargo Ship,1998,Antigua Barbuda,V2EM,152,20,8388,9544,26.33
9252204,431312000,Courageous Ace,Vehicle Carrier,2003,Japan,7JWJ,198,32,56439,19879,19.74
9231133,304656000,Maria Luisa,General Cargo Ship,2003,Portugal,CSNL,193,28,23132,30490,12.78
9102746,356579000,Msc Don Giovanni,Container Ship,1996,Panama,3FIV6,203,31,29181,41590,14.32
9220897,477642700,Nysted Maersk,Container Ship,2001,Hong Kong,VRTU5,200,30,27733,30194,26.78
9191307,257565000,Tamesis,Vehicle Carrier,2000,Norway,LAOL5,244,32,67140,39516,13.93
9200691,255806004,Brussels,Container Ship,2000,Portugal,CQIM8,278,40,66278,68790,21.43
9234068,235500000,Hurst Point,Ro-Ro Ship,2002,United Kingdom,ZIQE8,193,26,23235,13274,12.06
9226360,247370400,Eliana Marino,Ro-Ro Ship,2000,Portugal,CQEM8,174,24,18265,9090,6.55
9241463,352898692,Msc Corcovado Iii,Container Ship,2003,Panama,3E3603,207,29,25407,33701,17.4
8908583,215349000,Csl Trimnes,Bulk Carrier,1990,Malta,9HA2707,150,24,14145,17309,9.99
9106493,271044398,Med Denizli,Container Ship,1996,Turkey,TCA3930,152,24,10925,13623,26.97
9266554,304577000,Annette,General Cargo Ship,2003,Antigua Barbuda,V2OL8,151,22,8383,9417,28.29
9210218,256216000,Azamara Quest,Passenger Ship,2000,Malta,9HOM8,181,25,30277,2700,28.14
9229910,244962000,Nordnes,Bulk Carrier,2001,Netherlands,PHOG,166,26,18226,25063,9.23
7802794,210117000,Gubal Trader,Ro-Pax Ship,1979,Cyprus,5BQV5,139,17,7616,2362,38
9232797,246265000,Oranjeborg,Ro-Ro Ship,2004,Netherlands,PIAG,158,26,18289,15126,27.93
8911736,229288000,Sc Ahtela,Ro-Ro Ship,1991,Malta,9HA3206,140,19,8610,6700,22.86
9144251,259468000,Lysvik Seaways,General Cargo Ship,1998,Norway,LAYV5,129,18,7409,5175,26.31
9299408,259344000,Bømlo,Ro-Pax Ship,2005,Norway,LMWY,116,20,7310,3105,63.17
9225299,230935000,Eira,General Cargo Ship,2001,Finland,OJJP,157,25,14665,19625,15.3
8917390,277291000,Patria Seaways,Ro-Pax Ship,1991,Lithuania,LYRC,154,24,18332,4758,39.55
7826788,209077000,Rigel Ii,Ro-Pax Ship,1980,Cyprus,5BGR4,146,26,23842,2800,29.38
9007130,227289000,Barfleur,Ro-Pax Ship,1992,France,FNIE,158,24,20133,5175,30.28
9167150,371744000,Oasis Ii,Oil Tanker,2000,Panama,3EIZ8,171,27,22181,34985,7.5
9196852,477318400,Sealand Washington,Container Ship,2000,Liberia,5LHG5,304,40,74586,81556,12.36
9267675,351780000,Martorell,Vehicle Carrier,2003,Panama,HPNE,199,32,57789,19531,17.12
9250220,354203000,Mediterranean Highway,Vehicle Carrier,2002,Panama,H9WT,200,32,55493,17228,18.2
9207390,228057000,Mn Colibri,Ro-Ro Ship,2000,France,FNHO,115,20,9141,4250,44.5
9202649,357106000,Msc Diego,Container Ship,1999,Panama,3FZP8,260,32,40631,56889,18.05
8608200,355609000,Msc Levina,Container Ship,1989,Panama,3FJR8,241,32,36420,43140,16.96
9253739,477321000,Oocl Montreal,Container Ship,2003,Hong Kong,VRYO3,294,32,55994,47840,23.23
9144134,636020871,Msc Riona,Container Ship,1998,Liberia,5LBC9,184,25,16801,23026,16.66
8707343,311084000,Star Pride,Passenger Ship,1988,Bahamas,C6FR5,159,19,9975,800,
8808604,257520000,Silver Dania,General Cargo Ship,1989,Norway,LAJI8,114,17,5167,5353,17.49
9197533,255805834,Caroline Russ,Ro-Ro Ship,1999,Portugal,CQBF,154,21,10488,7261,20.33
9162681,210001000,Alasa,Container Ship,1998,Cyprus,C4RW2,121,18,6378,7073,30.13
9231846,305287000,Neuenfelde,Container Ship,2001,Antigua Barbuda,V2DO9,133,23,9981,11390,29
9213911,305399000,Cemisle,General Cargo Ship,2000,Antigua Barbuda,V2EE4,120,17,5133,5183,17.16
